
 Writing this to a file: 16.033, 3126mm dia25mm dia
 Writing this to a file: 5.98901lbs, 
 Writing this to a file: 10.044lbs, 25mm dia  Measured: 9.85

 Writing this to a file: 7.43956lbs, 25mm dia Measured: 6.20

 Writing this to a file: 5.48352lbs, 
 Writing this to a file: 5.01099lbs, 
 Writing this to a file: 6.51648lbs, 26mm dia Measured: 4.40

 Writing this to a file: 9.84615lbs, 29mm dia Measured: 7.75

 Writing this to a file: 15.5934lbs, 23mm dia Measured: 10.20

 Writing this to a file: 12.2418lbs, 29mm dia Measured: 7.70-11.20

 Writing this to a file: 7.0989lbs, 27mm dia Measured: 5.40-8.90

 Writing this to a file: 18.3297lbs, 27mm dia

 Writing this to a file: 13.3407lbs, 28mm dia

 Writing this to a file: 13.044lbs, 
 Writing this to a file: 5.25275lbs, 
 Writing this to a file: 5.02198lbs, 
 Writing this to a file: 5.05494lbs, 
 Writing this to a file: 5.07692lbs, 
 Writing this to a file: 6.94506lbs, 
 Writing this to a file: 5.64835lbs,  

1474253776, 14.3407 lbs, 26 mm dia, 0.160788
1474253997, 13.8242 lbs, 29 mm dia, 0.165818
1474254037, 0.340659 lbs, 91 mm dia, 0.155413
1474254350, 16.8242 lbs, 26 mm dia, -0.0862036
1474313185, 0.166667 lbs, 27 mm dia, right config, -0.195536
1474313277, 0.130952 lbs, 30 mm dia, right config, 0.110562
1474313503, 0.178571 lbs, 28 mm dia,  config, 0.114479
1474313984, 0.154762 lbs, 27 mm dia, left config, -0.109143
1474314033, 0.166667 lbs, 30 mm dia, right config, 0.123722
1474314399, 0.238095 lbs, 50 mm dia, right config, 0.00803852
1474314620, 0.22619 lbs, 50 mm dia, right config, -0.0439539
1474314731, 0.261905 lbs, 43 mm dia, right config, 0.0684042
1474314781, 0.214286 lbs, 43 mm dia, right config, 0.106838
1474316784, 0.27381 lbs, 28 mm dia, right config, -0.0711031
1474316932, 0.214286 lbs, 32 mm dia, right config, -0.1202
1474316932, 0.214286 lbs, 32 mm dia, right config, -0.1202
1474319709, 0.22619 lbs, 91 mm dia, right config, -0.0149698
1474319944, 0.22619 lbs, 31 mm dia, left config, -0.205246
1474319973, 0.25 lbs, 30 mm dia, right config, 0.205642
1474326939, 0.214286 lbs, 30 mm dia, left config, 0.00909901
1474327059, 20.4405 lbs, 28 mm dia, left config, 0.0565462
1474327269, 8.71429 lbs, 26 mm dia, left config, -0.140457
1474327346, 21.0238 lbs, 28 mm dia, left config, -0.0444441
1474470119, 13.4286 lbs, 30 mm dia, right config, 0.0243998
1474488950, 16.5833 lbs, 89 mm dia, left config, 0.270432
1474489029, 12.1905 lbs, 91 mm dia, right config, -0.320085
1474489339, 0.166667 lbs, 91 mm dia, right config, 0.130169
1474489918, 0.0833333 lbs, 91 mm dia, left config, -0.215873
1474489951, 0.190476 lbs, 91 mm dia, left config, -0.30297
1474489995, 0.130952 lbs, 91 mm dia, left config, -0.275392
1474490061, 0.107143 lbs, 91 mm dia, left config, -0.185996
1474490098, 19.3333 lbs, 91 mm dia, left config, -0.237669
1474490178, 15.119 lbs, 91 mm dia, left config, -0.228556
1474490235, 26.131 lbs, 91 mm dia, right config, -0.311698
1474490282, 28.25 lbs, 91 mm dia, right config, -0.197337
1474490368, 3.17857 lbs, 38 mm dia, right config, -0.134114
1474443792, 0 lbs, 89 mm dia, right config, 0.911922
1474444590, 0 lbs, 42 mm dia, right config, 0.0882807

-----------------------------------------------------------



1474636821, 14.5238 lbs, 23 mm dia, left config, 34.6249
1474637113, 5.63095 lbs, 22 mm dia, left config, 34.6249 latitude, 
1474637393, 13.5119 lbs, 23 mm dia, left config, 34.6249 latitude, -82.7383 longitude, 
1474637480, 13.7976 lbs, 23 mm dia, left config, 34.6249 latitude, -82.7383 longitude, 
1474637834, 9.34524 lbs, 22 mm dia, left config, 34.6249 latitude, -82.7383 longitude, 

--------------------------------------------------------------

1474638308, 28.1667 lbs, 82 mm dia, left config, 
1474639085, 17.9048 lbs, 26 mm dia, left config, 
1474639135, 25.4643 lbs, 29 mm dia, left config, 21.8 22.25 21.8 23.55; 27.5
1474639194, 20.2381 lbs, 32 mm dia, left config, 

--------------------------------------------------------------


1474640206, 16.9048 lbs, 25 mm dia, left config, 
1474640644, 21.9524 lbs, 25 mm dia, right config, 
1474641136, 13.8452 lbs, 35 mm dia, right config, 
1474641386, 8.0119 lbs, 26 mm dia, left config, 
1474641651, 11.5 lbs, 82 mm dia, right config, 
1474644335, 1.45238 lbs, 80 mm dia, right config, 
1474644383, 16.2262 lbs, 29 mm dia, left config, 
1474644756, 7.38095 lbs, 23 mm dia, right config, 
1474644920, 11.7857 lbs, 82 mm dia, left config, 
1474645147, 9.16667 lbs, 23 mm dia, right config, 
1474645408, 12.3571 lbs, 81 mm dia, left config, 
1474645617, 7.38095 lbs, 81 mm dia, right config, 
1474645784, 9.41667 lbs, 23 mm dia, left config, 
1474645859, 8.71429 lbs, 82 mm dia, left config, 
1474645913, 12.869 lbs, 82 mm dia, right config, 
1474646029, 2.55952 lbs, 22 mm dia, left config, 
1474646113, 6.14286 lbs, 82 mm dia, right config, 
1474646355, 2.53571 lbs, 82 mm dia, left config, 
1474646389, 1.33333 lbs, 32 mm dia, right config, 
1474646725, 5.2619 lbs, 28 mm dia, left config, 
1474646779, 1.25 lbs, 82 mm dia, right config, 
1474646972, 17.7976 lbs, 82 mm dia, left config, 
1474647164, 12.7619 lbs, 25 mm dia, left config, 
1474647332, 9.47619 lbs, 82 mm dia, right config, 
1474647532, 1.53571 lbs, 82 mm dia, left config, 
